name,current_team,role,active,avg,strike_rate,wickets,economy,recent_form,vs_opponent_avg,home_boost
Lee Carseldine,RR,bowl,0,40.5,114.08,1,5.14,1,1,1
Ajinkya Rahane,KKR,bat,1,30.32,125.53,1,5,1,1,1
Hanuma Vihari,SRH,bowl,0,14.95,85.8,1,6.7,1,1,1
Graham Napier,MI,bowl,0,15,93.75,1,7,1,1,1
Tyron Henderson,RR,bowl,0,11,68.75,1,6.83,1,1,1
Dhiraj Salunkhe,MI,bowl,0,33,137.5,1,9.41,1,1,1
Clint McKay,MI,bowl,0,8,53.33,1,8.57,1,1,1
Rovman Powell,KKR,bat,1,22.05,144.78,1,11.67,1,1,1
Sisanda Magala,CSK,bowl,0,0,0,1,8.43,1,1,1
Jeevan Mendis,DC,bowl,0,11.5,85.19,1,7.2,1,1,1
Mahipal Lomror,RCB,allrounder,0,18.17,135.48,1,8.11,1,1,1
Sarvesh Kumar,RR,bowl,0,1,50,1,8.13,1,1,1
Aaron Finch,RCB,allrounder,0,25.83,123.35,1,9.14,1,1,1
D'Arcy Short,RR,bowl,0,23,112.75,1,7.67,1,1,1
Andrew Noffke,RCB,bowl,0,9,75,1,9.84,1,1,1
Ali Murtaza Jhunjhunwala,MI,bowl,0,21.7,99.54,1,8.86,1,1,1
Shahrukh Khan,GT,bat,1,20.73,148.65,1,9.33,1,1,1
Ishan Porel,PBKS,bowl,0,0,0,1,9.69,1,1,1
Doddapaneni Ravi Teja,DC,allrounder,0,20.83,115.38,1,9.33,1,1,1
Sunil Joshi,RCB,bowl,0,6,37.5,1,8.95,1,1,1
Sherfane Rutherford,MI,bat,1,26.32,146.2,1,8.63,1,1,1
Vijayakanth Viyaskanth,SRH,bowl,0,7,140,1,9,1,1,1
Shreevats Sarkar,KKR,bowl,0,0,0,1,8.16,1,1,1
Duan Jansen,MI,bowl,0,0,0,1,11.36,1,1,1
Luke Williams,RR,bowl,0,1,50,1,10.57,1,1,1
Luke Wood,GT,bowl,1,9,300,1,15.5,1,1,1
Shubham Agarwal,RR,bowl,0,0,0,1,10.5,1,1,1
Dewald Brevis,CSK,bat,1,27.56,150.31,1,16,1,1,1
Gurinder Sandhu,DC,bowl,0,0,0,1,10.75,1,1,1
Andre Nel,MI,bowl,0,0,0,1,10.33,1,1,1
Rajesh More,RR,bowl,0,2,100,1,10.22,1,1,1
Brett Geeves,DC,bowl,0,0,0,1,11.14,1,1,1
Daryl Mitchell,CSK,allrounder,0,27,128.1,1,11.41,1,1,1
Gurjapneet Singh,CSK,bowl,1,0,0,2,10.47,1,1,1
Yarra Prithviraj,KKR,bowl,0,0,0,1,10.36,1,1,1
Musheer Khan,PBKS,bowl,1,0,0,1,13.5,1,1,1
Sean Abbott,RR,bowl,0,11,122.22,1,10.58,1,1,1
Lendl Simmons,MI,allrounder,0,41.5,122.89,1,11.33,1,1,1
Cameron White,SRH,allrounder,0,31.32,125.45,1,11.22,1,1,1
Manoj Tiwary,KKR,allrounder,0,31.98,113.83,1,11.07,1,1,1
TP Sudhindra,RCB,bowl,0,0,0,1,11.11,1,1,1
Lukman Meriwala,DC,bowl,0,0,0,1,10.11,1,1,1
PVSN Raju,RR,bowl,0,1,100,1,11.17,1,1,1
S Vidyut,KKR,bowl,0,18.12,126.09,1,10.15,1,1,1
Adam Gilchrist,KXIP,allrounder,0,27.96,133.05,1,0,1,1,1
Michael Neser,PBKS,bat,0,0,0,0,14.88,0,0,1
Sunny Gupta,KKR,bat,0,0,0,0,14.84,0,0,1
RV Pawar,RR,bat,0,0,0,0,0,0,0,1
Abdur Razzak,RR,bat,0,0,0,0,12.43,0,0,1
P Dharmani,PBKS,bat,0,0,0,0,0,0,0,1
Mahesh Parmar,RR,bat,0,0,0,0,10.42,0,0,1
Shamar Joseph,LSG,bat,0,0,0,0,10.2,0,0,1
Chandrasekar Ganapathy,CSK,bat,0,0,0,0,13,0,0,1
Jalaj Saxena,RR,bat,0,0,0,0,9,0,0,1
Monu Kumar,CSK,bat,0,0,0,0,7.5,0,0,1
Gurnoor Brar,GT,bat,1,0,0,0,14,0,0,1
Rahul Goyal,MI,bat,0,0,0,0,8.5,0,0,1
Ranadeb Bose,KKR,bat,0,0,0,0,12,0,0,1
Sanjay Yadav,MI,bat,0,0,0,0,9.86,0,0,1
Uday Kaul,KKR,bat,0,0,0,0,0,0,0,1
Himanshu Sharma,RR,bat,0,0,0,0,12.4,0,0,1
Riyaz Shaikh,RR,bat,0,0,0,0,11,0,0,1
KH Devdhar,RR,bat,0,0,0,0,0,0,0,1
Prasanth Parameswaran,RCB,bat,0,0,0,0,18,0,0,1
Azhar Ali Kazi,RR,bat,0,0,0,0,9.69,0,0,1
Mitchell Owen,PBKS,bat,1,0,0,0,0,0,0,1
Karim Janat,GT,bat,0,0,0,0,30,0,0,1
Kuldeep Singh Rathore,RR,bat,0,0,0,0,0,0,0,1
Joe Denly,KKR,bat,0,0,0,0,0,0,0,1
Tejas Baroka,RR,bat,0,0,0,0,9.43,0,0,1
Himmat Singh,LSG,bat,1,0,100,0,0,0,0,1
Luan-Dre Pretorius,RR,bat,1,0,0,0,0,0,0,1
Ray Price,MI,bat,0,0,0,0,11,0,0,1
Sahil Parakh,DC,bat,1,0,0,0,0,0,0,1
Ben Duckett,DC,bat,1,0,0,0,0,0,0,1
Zak Foulkes,CSK,allrounder,1,0,0,0,0,0,0,1
Aman Khan,CSK,allrounder,1,12.78,110.58,0,13,1,0,1
