name,current_team,role,active,avg,strike_rate,wickets,economy,recent_form,vs_opponent_avg,home_boost
KS Bharat,RCB,bat,0,28.43,118.45,0,0,18.6,1.18,1
Stephen Fleming,CSK,bat,0,24.5,114.62,0,0,24.8,1.15,1
Subramaniam Badrinath,CSK,bat,0,33.51,115.74,0,0,14.8,1.16,1
Eoin Morgan,KKR,bat,0,26.04,119.05,0,0,20.2,1.19,1
George Bailey,PBKS,bat,0,28.83,120.11,0,0,16.8,1.2,1
Manan Vohra,PBKS,bat,0,24.07,125.49,0,0,18.2,1.25,1
Misbah-ul-Haq,RCB,bat,0,16.71,142.68,0,0,15,1.43,1
Krunal Pandya,RCB,bowl,1,21.48,131.82,101,7.52,1.4,1,1
Dale Steyn,RCB,bowl,0,8.79,102.45,97,6.79,1.6,1,1
Herschelle Gibbs,DC,bat,0,30.55,105.85,0,0,22.2,1.06,1
Simon Katich,RCB,bat,0,30.12,126.18,0,0,9.6,1.26,1
Parthiv Patel,RCB,bat,0,24.55,116.63,0,0,20.8,1.17,1
Luke Pomersbach,RCB,bat,0,30.2,120.32,0,0,12.8,1.2,1
Chris Morris,RR,allrounder,0,24.72,149.64,96,7.92,1.4,1,1
Ishant Sharma,GT,bowl,1,9.5,82.61,96,8.38,1.4,1,1
Gulbadin Naib,DC,bat,0,19,126.67,0,12,19,1.27,1
Rahmanullah Gurbaz,KKR,bat,0,21.35,128.27,0,0,14.8,1.28,1
Ross Taylor,RR,bat,0,26.76,120.07,0,11.08,13.4,1.2,1
Niraj Patel,MI,bat,0,30.25,97.58,0,0,23.4,0.98,1
Dawid Malan,PBKS,bat,0,26,100,0,0,26,1,1
Andrew Blizzard,MI,bat,0,17.14,131.87,0,0,15.4,1.32,1
Anuj Rawat,GT,bat,1,19.88,119.11,0,0,19.6,1.15,1
Anustup Majumdar,PWI,bat,0,21.75,112.99,0,0,21.75,1.13,1
Biplab Samantray,DC,bat,0,31.25,107.76,0,0,15.2,1.08,1
Shane Watson,CSK,allrounder,0,33.16,134.16,92,7.7,2.4,1,1
Avesh Khan,LSG,bowl,1,17,158.14,92,9.18,1.6,1,1
Khaleel Ahmed,CSK,bowl,0,0.5,22.22,92,8.69,1.2,1,1
Kumar Sangakkara,KXIP,bat,0,26.78,118.47,0,0,11.8,1.18,1
Mark Boucher,RCB,bat,0,30.31,123.9,0,0,4.8,1.24,1
Mayank Agarwal,SRH,bat,0,23.83,128.8,0,0,7.6,1.29,1
Siddharth Arora,KKR,bat,0,14,140,0,0,10.5,1.4,1
Debabrata Das,KKR,bat,0,25.33,113.86,0,0,14.8,1.14,1
Donovan Ferreira,RR,bat,1,14.33,126.48,0,0,15.8,1.27,1
Praveen Kumar,MI,allrounder,0,12.14,105.26,90,7.6,1.8,1,1
Abhishek Raut,RR,bat,0,27.71,112.79,0,9,12.4,1.13,1
Rudra Pratap Singh,DC,bowl,0,4.73,66.67,90,7.74,1.4,1,1
Colin Munro,DC,bat,0,19.67,122.92,0,7.5,14.2,1.23,1
Yogesh Takawale,MI,bat,0,24,104.92,0,0,20.8,1.05,1
Faiz Fazal,RR,bat,0,30.5,102.23,0,10,15.6,1.02,1
